model_version,hidden,p_dropout,num_layers,num_epochs,test_acc,test_loss,train_acc,train_loss
v22,10,0,2,20,89.02,0.275,89.81,0.256
v23,20,0,2,20,89.76,0.251,91.84,0.213
v24,10,0.1,2,20,88.74,0.277,89.31,0.265
v25,20,0.1,2,20,90.04,0.246,92.4,0.206
v26,50,0,2,20,90.44,0.241,93.19,0.184
v27,50,0.1,2,20,90.65,0.235,92.5,0.197
